Yelp Category,LOD Resource name,LOD Resource URL
Dance Schools,School,http://dbpedia.org/resource/School
Day Spas,Day_spa,http://dbpedia.org/resource/Day_spa
Delicatessen,Delicatessen,http://dbpedia.org/resource/Delicatessen
Delis,Delicatessen,http://dbpedia.org/resource/Delicatessen
Dentists,Dentist,http://dbpedia.org/resource/Dentist
Department Stores,Department_store,http://dbpedia.org/resource/Department_store
Departments of Motor Vehicles,Department_of_Motor_Vehicles,http://dbpedia.org/resource/Department_of_Motor_Vehicles
Dermatologists,Dermatology,http://dbpedia.org/resource/Dermatology
Desserts,Dessert,http://dbpedia.org/resource/Dessert
Diagnostic Imaging,Medical_imaging,http://dbpedia.org/resource/Medical_imaging
Diagnostic Services,Medical_test,http://dbpedia.org/resource/Medical_test
Dim Sum,Dim_sum,http://dbpedia.org/resource/Dim_sum
Diners,Diner,http://dbpedia.org/resource/Diner
Disc Golf,Disc_golf,http://dbpedia.org/resource/Disc_golf
Discount Store,Discount_store,http://dbpedia.org/resource/Discount_store
Distilleries,Distilled_beverage,http://dbpedia.org/resource/Distilled_beverage
Dive Bars,Dive_bar,http://dbpedia.org/resource/Dive_bar
Doctors,Physician,http://dbpedia.org/resource/Physician
Dog Parks,Dog_park,http://dbpedia.org/resource/Dog_park
Do-It-Yourself Food,Do_it_yourself,http://dbpedia.org/resource/Do_it_yourself
Do-It-Yourself Food,Food,http://dbpedia.org/resource/Food
Donuts,Doughnut,http://dbpedia.org/resource/Doughnut
Drive-In Theater,Drive_in_theater,http://dbpedia.org/resource/Drive_in_theater
Drugstores,Drugstore,http://dbpedia.org/resource/Drugstore
Dry Cleaning & Laundry,Dry_cleaning,http://dbpedia.org/resource/Dry_cleaning
Dry Cleaning & Laundry,Laundry,http://dbpedia.org/resource/Laundry
Ear Nose & Throat,Otorhinolaryngology,http://dbpedia.org/resource/Otorhinolaryngology
Education,Education,http://dbpedia.org/resource/Education
Educational Services,Education,http://dbpedia.org/resource/Education
Electronics,Electronics,http://dbpedia.org/resource/Electronics
Electronics Repair,Electronics,http://dbpedia.org/resource/Electronics
Electronics Repair,"Maintenance,_repair,_and_operations","http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Emergency Rooms,Emergency_department,http://dbpedia.org/resource/Emergency_department
Escape Games,Real_life_room_escape,http://dbpedia.org/resource/Real_life_room_escape
Ethiopian,Ethiopian_cuisine,http://dbpedia.org/resource/Ethiopian_cuisine
Event Planning & Services,Event_management,http://dbpedia.org/resource/Event_management
Eyelash Service,Eyelash_extensions,http://dbpedia.org/resource/Eyelash_extensions
Eyewear & Opticians,Eyewear,http://dbpedia.org/resource/Eyewear
Eyewear & Opticians,Optician,http://dbpedia.org/resource/Optician
Fabric Stores,Retail,http://dbpedia.org/resource/Retail
Fabric Stores,Textile,http://dbpedia.org/resource/Textile
Family Practice,Family_medicine,http://dbpedia.org/resource/Family_medicine
Farms,Farm,http://dbpedia.org/resource/Farm
Fashion,Fashion,http://dbpedia.org/resource/Fashion
Fast Food,Fast_food,http://dbpedia.org/resource/Fast_food
Fences & Gates,Fence,http://dbpedia.org/resource/Fence
Fences & Gates,Gate,http://dbpedia.org/resource/Gate
Festivals,Festival,http://dbpedia.org/resource/Festival
Filipino,Philippine_cuisine,http://dbpedia.org/resource/Philippine_cuisine
Financial Advising,Financial_adviser,http://dbpedia.org/resource/Financial_adviser
Financial Services,Financial_services,http://dbpedia.org/resource/Financial_services
Fish & Chips,Fish_and_chips,http://dbpedia.org/resource/Fish_and_chips
Fitness & Instruction,Fitness_professional,http://dbpedia.org/resource/Fitness_professional
Float Spa,Spa,http://dbpedia.org/resource/Spa
Flooring,Flooring,http://dbpedia.org/resource/Flooring
Florists,Floristry,http://dbpedia.org/resource/Floristry
Flowers & Gifts,Floristry,http://dbpedia.org/resource/Floristry
Fondue,Fondue,http://dbpedia.org/resource/Fondue
Food,Food,http://dbpedia.org/resource/Food
Food Delivery Services,Food,http://dbpedia.org/resource/Food
Food Stands,Food_booth,http://dbpedia.org/resource/Food_booth
Food Tours,Culinary_tourism,http://dbpedia.org/resource/Culinary_tourism
Food Trucks,Food_truck,http://dbpedia.org/resource/Food_truck
French,French_cuisine,http://dbpedia.org/resource/French_cuisine
Fruits & Veggies,Fruit,http://dbpedia.org/resource/Fruit
Fruits & Veggies,Vegetable,http://dbpedia.org/resource/Vegetable
